run_id,seed,algorithm,validation_accuracy,testing_accuracy,validation_loss,f1_score,precision,recall,auc_score,inference_time,training_time,epochs
0,42,Self-Supervised Learning,0.8979,0.89855,0.44146345166643713,0.892182308043473,0.8890453947610125,0.89855,0.9497608784336186,0.0008109602958533415,57.16447567939758,20
0,42,SVM,0.88115,0.880425,0.11885000000000001,0.8311715485461342,0.8674153226134588,0.880425,0.9253649979496514,0.0002550955832004547,23.341469049453735,1
0,42,Logistic Regression,0.89225,0.892925,0.10775000000000001,0.8850963637561555,0.8813687837534404,0.892925,0.942572645440896,8.592605590820312e-08,9.09498906135559,1
0,42,Naive Bayes,0.569875,0.575975,0.430125,0.6460914625477615,0.8575356626409499,0.575975,0.7706723507298171,8.489608764648437e-07,0.09022355079650879,1
0,42,CatBoostClassifier,0.9724,0.97175,0.027599999999999958,0.9715523917071595,0.9714211309177335,0.97175,0.9937258298188456,9.445232152938842e-06,4.102722644805908,1
0,42,QDA,0.870175,0.86495,0.12982499999999997,0.8745408828103342,0.8897507112399063,0.86495,0.9191356329872205,1.132667064666748e-06,0.44100117683410645,1
1,123,Self-Supervised Learning,0.8954000000000001,0.896775,0.4350965862061567,0.8879035971287805,0.8848287779748909,0.896775,0.9496575789503142,0.0007227044196645166,58.28610348701477,20
1,123,SVM,0.880275,0.880425,0.11972499999999997,0.829966449911137,0.884336061524496,0.880425,0.9300219312071643,0.00026266254782676696,25.3546462059021,1
1,123,Logistic Regression,0.89065,0.890625,0.10934999999999995,0.8830179196061195,0.8791507624582505,0.890625,0.9433485049442255,5.528926849365234e-08,8.520870685577393,1
1,123,Naive Bayes,0.575225,0.570525,0.424775,0.6407650499983001,0.8554722693504732,0.570525,0.770281005279446,9.562492370605468e-07,0.0876610279083252,1
1,123,CatBoostClassifier,0.97055,0.971175,0.029449999999999976,0.9710201668075265,0.9709049807735549,0.971175,0.9939414765836824,9.283417463302612e-06,4.17795991897583,1
1,123,QDA,0.863825,0.86735,0.13617500000000005,0.8767011498935444,0.8917447559814569,0.86735,0.9198855856893476,1.2345671653747558e-06,0.48514819145202637,1
2,456,Self-Supervised Learning,0.888825,0.887875,0.44438502477232816,0.8641582471038369,0.8658812547060568,0.887875,0.9414651725378405,0.0007402714650342419,60.21696162223816,20
2,456,SVM,0.8815,0.881675,0.11850000000000005,0.8351181589902426,0.8629180464068671,0.881675,0.9284071639851682,0.0002564718306064606,23.707165241241455,1
2,456,Logistic Regression,0.893875,0.8938,0.10612500000000002,0.8869185598177887,0.883289523731722,0.8938,0.9442353643295525,1.2325048446655274e-07,7.861644268035889,1
2,456,Naive Bayes,0.575625,0.5707,0.42437499999999995,0.641820711614228,0.857079378236749,0.5707000000000001,0.7690921132628429,9.020090103149414e-07,0.09538936614990234,1
2,456,CatBoostClassifier,0.9734,0.972675,0.026599999999999957,0.9725132211373034,0.9723986938118655,0.972675,0.9944060641819092,9.526067972183227e-06,4.21508526802063,1
2,456,QDA,0.869475,0.870975,0.130525,0.8803280701929358,0.8956466138576443,0.870975,0.9222532314332704,1.3936161994934082e-06,0.4683096408843994,1
3,789,Self-Supervised Learning,0.8917,0.8919,0.4403210834712739,0.8547023915230156,0.8962389565074756,0.8919,0.9466948916435878,0.0009048911416606538,56.93269371986389,20
3,789,SVM,0.8811,0.880625,0.1189,0.8353383321435305,0.8575626966851343,0.880625,0.925077991167666,0.0002680972516536713,22.525123596191406,1
3,789,Logistic Regression,0.893225,0.894575,0.10677499999999995,0.887252381820058,0.8837196884157509,0.894575,0.9437261983734476,7.529854774475098e-08,9.360441446304321,1
3,789,Naive Bayes,0.5728,0.57345,0.4272,0.6438014061947691,0.8566373296314683,0.57345,0.7693641673845586,8.775770664215088e-07,0.08934473991394043,1
3,789,CatBoostClassifier,0.97185,0.972375,0.02815000000000001,0.9722964893055454,0.9722290570702655,0.972375,0.9941567089502505,8.971911668777465e-06,4.260849714279175,1
3,789,QDA,0.868275,0.867825,0.13172499999999998,0.8773336417890684,0.8927326562595739,0.867825,0.9193154818675755,1.185232400894165e-06,0.4257519245147705,1
4,1011,Self-Supervised Learning,0.8985500000000001,0.898,0.44185717925903906,0.8663341933767787,0.9006580446560923,0.898,0.9465851314605515,0.0008965859747236701,60.78323531150818,20
4,1011,SVM,0.883025,0.8811,0.11697500000000005,0.8380333827276581,0.8516233049304494,0.8811,0.9218822016449396,0.0002477613985538483,22.23874545097351,1
4,1011,Logistic Regression,0.893075,0.894125,0.10692500000000005,0.8864111245360087,0.8827056214389679,0.894125,0.9431524289447022,0.0,8.386401414871216,1
4,1011,Naive Bayes,0.570925,0.573925,0.429075,0.6448825906593797,0.8591522768920636,0.573925,0.7740567657193499,9.982109069824218e-07,0.10714411735534668,1
4,1011,CatBoostClassifier,0.97335,0.9718,0.02664999999999995,0.9717123513511949,0.9716376510224872,0.9718,0.9938970720395692,9.376496076583862e-06,4.212904691696167,1
4,1011,QDA,0.868325,0.869625,0.131675,0.8793634021900745,0.895411972355828,0.869625,0.9212201135230951,1.1476457118988037e-06,0.4343264102935791,1
